concepts,avg_feat_overlap_541,norm fam,KF,ln(KF),Length_Letters,epis_t,Length_Syllables,set
sledgehammer,0.076,3.8,1,0,12,0.598195407,3,1
chapel,0.004,5.25,22,3.091042453,6,2.415676801,2,1
jeans,0.016,8.65,24,3.17805383,5,3.614433238,1,1
crowbar,0.074,4,1,0,7,0.65546137,2,1
asparagus,0.058,5.85,1,0,9,2.936139426,4,1
spatula,0.062,7,1,0,7,2.266868681,3,1
taxi,0.019,7.35,19,2.944438979,4,1.389064099,2,1
helmet,0.017,6.2,3,1.098612289,6,2.464246933,2,1
saddle,0.014,3.75,27,3.295836866,6,2.221698959,2,1
pigeon,0.061,5.8,4,1.386294361,6,1.140231948,2,1
beans,0.059,7,14,2.63905733,5,0.678048916,1,1
crown,0.015,2.95,19,2.944438979,5,1.016305221,1,1
rattle,0.017,5,6,1.791759469,6,-0.695929452,2,1
shack,0.061,3.55,2,0.693147181,5,1.612210993,1,1
muzzle,0.005,3.25,11,2.397895273,6,0.801258185,2,1
projector,0.003,6.6,1,0,9,-0.356046977,3,1
door,0.059,8.95,348,5.85220248,4,2.481455014,1,1
pin,0.066,6.85,22,3.091042453,3,1.043032977,1,1
leotards,0.018,6.05,1,0,8,2.94541977,3,1
saucer,0.018,6.05,2,0.693147181,6,1.046682223,2,1
shell,0.016,6.2,36,3.583518938,5,3.140284988,1,1
raccoon,0.060,5.1,1,0,7,2.495656756,2,1
chipmunk,0.063,6,1,0,8,2.091593725,2,1
cellar,0.009,4.7,27,3.295836866,6,1.44877507,2,1
squirrel,0.065,7.85,1,0,8,4.431776507,2,1
dandelion,0.011,6.4,1,0,9,0.824532579,4,1
barrel,0.068,5.05,32,3.465735903,6,0.352388032,2,1
chicken,0.066,7.95,50,3.912023005,7,1.829771244,2,1
bench,0.057,7.6,43,3.761200116,5,2.443211108,1,1
thermometer,0.016,7,16,2.772588722,11,1.227581701,4,1
jeep,0.017,6.9,16,2.772588722,4,2.268600487,1,2
cedar,0.016,5.5,1,0,5,3.708720052,2,2
goose,0.073,4.9,7,1.945910149,5,0.58416264,1,2
bluejay,0.061,5.1,1,0,7,2.425854594,2,2
radio,0.005,8.7,127,4.844187086,5,2.31441272,3,2
sparrow,0.078,4.35,1,0,7,1.200003216,2,2
ladle,0.057,4.95,1,0,5,2.754960519,2,2
bouquet,0.005,6.05,5,1.609437912,7,5.181829116,2,2
coin,0.066,8.85,19,2.944438979,4,0.678639137,1,2
sack,0.007,5.7,9,2.197224577,4,0.492459116,1,2
tent,0.004,6.85,30,3.401197382,4,0.609355199,1,2
rice,0.059,7.5,33,3.496507561,4,1.806443386,1,2
beehive,0.008,5.1,1,0,7,0.112350407,2,2
plum,0.056,6.2,1,0,4,3.633084186,1,2
flute,0.058,4.6,1,0,5,4.653968067,1,2
crow,0.063,5,3,1.098612289,4,2.468407682,1,2
certificate,0.003,6.95,8,2.079441542,11,0.305587386,4,2
hamster,0.060,6.1,1,0,7,0.491127554,2,2
veil,0.015,3.7,11,2.397895273,4,-2.061304283,1,2
olive,0.056,5.7,6,1.791759469,5,4.064999041,2,2
gate,0.061,7.1,52,3.951243719,4,1.103420165,1,2
tongs,0.063,6.15,2,0.693147181,5,1.450565393,1,2
church,0.011,6.1,144,4.9698133,6,2.42036881,1,2
doll,0.007,7.75,22,3.091042453,4,0.603506754,1,2
horse,0.061,6.3,185,5.220355825,5,3.213809447,1,2
machete,0.057,2,1,0,7,1.212708663,3,2
nylons,0.016,6.2,1,0,6,3.722321049,2,2
pot,0.056,7.45,28,3.33220451,3,2.67283295,1,2
cake,0.017,7.4,16,2.772588722,4,3.104053348,1,2
whistle,0.061,6.4,4,1.386294361,7,0.406970804,2,2
skunk,0.061,5.5,1,0,5,2.082466766,1,3
vest,0.017,7,5,1.609437912,4,-0.241040031,1,3
moose,0.064,3.35,1,0,5,1.147983868,1,3
sandpaper,0.006,5.75,1,0,9,2.62384537,3,3
grater,0.058,5.05,1,0,6,2.142587177,2,3
shrimp,0.076,5.8,2,0.693147181,6,1.634434797,1,3
tomato,0.056,7.75,7,1.945910149,6,4.506836088,3,3
mat,0.014,6.85,7,1.945910149,3,4.450456745,1,3
bagpipe,0.016,3.2,1,0,7,1.453691527,2,3
bomb,0.018,3.05,71,4.262679877,4,1.660572994,1,3
buckle,0.057,7.65,7,1.945910149,6,1.314853282,2,3
cigarette,0.017,5.2,37,3.610917913,9,-0.058666828,3,3
