Category	CONCEPT	avg cosine	animacy	norm_fam	ln(word_freq)	word length	num_syllable
a_miscellaneous_nonliving_thing	peg	0.093341959	n	5.3	1.791759469	3	1
an_animal	chickadee	0.087794824	y	3.8	0	9	3
an_animal	sparrow	0.078083179	y	4.35	0	7	2
an_animal	shrimp	0.076419593	y	5.8	0.693147181	6	1
a_tool	sledgehammer	0.07561183	n	3.8	0	12	3
an_animal	buffalo	0.075284658	y	3.5	2.833213344	7	3
a_tool	crowbar	0.074266174	n	4	0	7	2
an_animal	raven	0.073789279	y	3.2	0	5	2
an_animal	bear	0.073593346	y	4.55	4.418840608	4	1
an_animal	goose	0.07349353	y	4.9	1.945910149	5	1
an_animal	finch	0.072859519	y	3.25	0	5	1
an_animal	gorilla	0.072112754	y	2.65	0	7	3
an_animal	pheasant	0.071937153	y	3.15	1.098612289	8	2
an_animal	pelican	0.070521257	y	2.85	0	7	3
an_animal	ox	0.069946396	y	2.3	2.708050201	2	1
a_weapon	baton	0.069456562	n	3.2	2.302585093	5	2
an_animal	starling	0.069327172	y	2.75	0	8	2
a_tool	hatchet	0.068585952	n	2.6	1.386294361	7	2
an_animal	partridge	0.068018484	y	2.55	0	9	2
an_animal	salamander	0.067981516	y	2.45	0.693147181	10	4
a_weapon	rocket	0.067822551	n	2.25	2.995732274	6	2
a_container	barrel	0.067780037	n	5.05	3.465735903	6	2
an_animal	walrus	0.067685767	y	2.15	0	6	2
an_animal	blackbird	0.067343808	y	3.75	0	9	2
an_animal	fox	0.066768946	y	4.7	2.564949357	3	1
a_miscellaneous_nonliving_thing	pin	0.066478743	n	6.85	3.091042453	3	1
a_miscellaneous_nonliving_thing	coin	0.066273567	n	8.85	2.944438979	4	1
a_vegetable	peas	0.066231054	n	6.95	3.17805383	4	1
an_animal	falcon	0.066120148	y	2.85	1.386294361	6	2
an_animal	bison	0.066060998	y	2.75	0	5	2
an_animal	peacock	0.065863216	y	3.85	1.791759469	7	2
