concepts	avg_feat_overlap_541	norm fam	KF	ln(KF)	Length_Letters	epis_t	Length_Syllables	set
spatula	0.062	7	1	0	7	2.266868681	3	1
grater	0.058	5.05	1	0	6	2.142587177	2	1
pin	0.066	6.85	22	3.091042453	3	1.043032977	1	1
axe	0.026	4.6	25	3.218875825	3	1.464756238	1	1
table	0.052	8.95	242	5.488937726	5	-0.046500689	2	1
ladle	0.057	4.95	1	0	5	2.754960519	2	1
helicopter	0.024	4.05	1	0	10	4.38304073	4	1
faucet	0.026	8.1	1	0	6	3.538368342	2	1
bench	0.057	7.6	43	3.761200116	5	2.443211108	1	1
lantern	0.019	5.3	15	2.708050201	7	3.206840576	2	1
flute	0.058	4.6	1	0	5	4.653968067	1	1
chicken	0.066	7.95	50	3.912023005	7	1.829771244	2	1
subway	0.018	5.9	8	2.079441542	6	1.059557041	2	1
tent	0.004	6.85	30	3.401197382	4	0.609355199	1	1
vest	0.017	7	5	1.609437912	4	-0.241040031	1	1
mixer	0.022	5.9	3	1.098612289	5	2.003764402	2	1
lobster	0.05	5.85	1	0	7	2.143202753	2	1
radio	0.005	8.7	127	4.844187086	5	2.31441272	3	1
raccoon	0.06	5.1	1	0	7	2.495656756	2	2
desk	0.05	8.65	69	4.234106505	4	1.712672977	1	2
bagpipe	0.016	3.2	1	0	7	1.453691527	2	2
closet	0.024	8.7	12	2.48490665	6	1.805014406	2	2
sledgehammer	0.076	3.8	1	0	12	0.598195407	3	2
thermometer	0.016	7	16	2.772588722	11	1.227581701	4	2
tripod	0.021	3.45	4	1.386294361	6	1.630804766	2	2
plum	0.056	6.2	1	0	4	3.633084186	1	2
pot	0.056	7.45	28	3.33220451	3	2.67283295	1	2
rattle	0.017	5	6	1.791759469	6	-0.695929452	2	2
crowbar	0.074	4	1	0	7	0.65546137	2	2
hut	0.054	3.25	19	2.944438979	3	0.534348345	1	2
doll	0.007	7.75	22	3.091042453	4	0.603506754	1	2
magazine	0.005	8.15	64	4.158883083	8	1.609421239	3	2
crown	0.015	2.95	19	2.944438979	5	1.016305221	1	2
blouse	0.023	7.25	2	0.693147181	6	3.240091283	1	2
pickle	0.051	7.35	2	0.693147181	6	3.807111862	2	2
certificate	0.003	6.95	8	2.079441542	11	0.305587386	4	2
pearl	0.052	5.1	11	2.397895273	5	0.908308023	1	3
lemon	0.026	7.15	19	2.944438979	5	1.476659779	2	3
jeep	0.017	6.9	16	2.772588722	4	2.268600487	1	3
sack	0.007	5.7	9	2.197224577	4	0.492459116	1	3
beans	0.059	7	14	2.63905733	5	0.678048916	1	3
cathedral	0.025	4.7	11	2.397895273	9	1.363706639	3	3
pony	0.058	4.7	16	2.772588722	4	0.543871859	2	3
inn	0.02	5.55	10	2.302585093	3	2.712650652	1	3
pen	0.052	8.95	20	2.995732274	3	1.34126863	1	3
medal	0.021	5.9	11	2.397895273	5	1.219472551	2	3
chipmunk	0.063	6	1	0	8	2.091593725	2	3
olive	0.056	5.7	6	1.791759469	5	4.064999041	2	3
jar	0.013	6.95	19	2.944438979	3	0.314149533	1	3
muzzle	0.005	3.25	11	2.397895273	6	0.801258185	2	3
moose	0.064	3.35	1	0	5	1.147983868	1	3
bucket	0.061	6.55	11	2.397895273	6	0.891750984	2	3
escalator	0.023	7.35	1	0	9	2.929200354	4	3
seagull	0.053	6.7	1	0	7	5.19406291	2	3
squirrel	0.065	7.85	1	0	8	4.431776507	2	4
avocado	0.055	3.7	16	2.772588722	7	3.905155597	4	4
drill	0.025	6	37	3.610917913	5	2.860774573	1	4
cake	0.017	7.4	16	2.772588722	4	3.104053348	1	4
emerald	0.025	4.05	9	2.197224577	7	0.810430858	3	4
nylons	0.016	6.2	1	0	6	3.722321049	2	4
sword	0.055	2.95	11	2.397895273	5	0.441572337	1	4
blender	0.023	5.8	1	0	7	2.455419063	2	4
duck	0.053	5.2	13	2.564949357	4	0.12386841	1	4
sandals	0.013	7.45	5	1.609437912	7	1.701690981	2	4
harmonica	0.052	3.65	1	0	9	1.162386231	4	4
basket	0.028	6.9	19	2.944438979	6	1.809403171	2	4
shed	0.05	7.05	15	2.708050201	4	3.745813976	1	4
cellar	0.009	4.7	27	3.295836866	6	1.44877507	2	4
pear	0.056	7.2	8	2.079441542	4	2.019160044	1	4
raisin	0.053	6.55	1	0	6	2.291088121	2	4
microwave	0.02	7.95	3	1.098612289	9	1.645032242	3	4
tack	0.056	6.4	4	1.386294361	4	3.822816592	1	4
